,arousal,valence
1au9q3wiWxIwXTazIjHdfF,0.5105986203745082,0.5539205773768762
0vFJC16vkmxDqh5K2Hv5y6,0.4450470169259656,0.48649115035564516
7LVHVU3tWfcxj5aiPFEW4Q,0.7071186277631841,0.6046717752181732
7Cia4WzapwjMr0NUQF8vf3,0.5524301671526098,0.628761184935131
5MzXUNfn8AAcz4Z6j2KgTK,0.5751596192860933,0.585404070716017
22uzF19LxQW87kOVkR79Fq,0.49711888021107686,0.535240269319273
5y2jVejsPBdiUOZWQodtbq,0.42279056718627006,0.4548066347067923
22uyZjmZR0DX8FyrIwQl35,0.49220262835795736,0.5160897944889375
4uIE29yKjg7Cbw6aEXyxiK,0.6949352708864304,0.6840802365820244
4xqw8JSmfNdHLCuT23pHiv,0.6580077881966735,0.6203575039334307
5sF7hdYvhrcgNq8NZjfK8L,0.33343699047672365,0.41064221723652383
4ImN33OfhmbjjWBAB7pElK,0.5234083664050975,0.5048628812689765
34ngvjIBKbCL9ECqIhbxaZ,0.3716596033583085,0.409784074898073
1phRuf0KNLOFGzDVE2UYIv,0.32273216121712833,0.3545665930554015
4sVnlrSGaRwnBaj35C2wXu,0.4220552755913256,0.4891558965561935
0xRO7EKgYKVB8zKIoiXMDD,0.32283319557875534,0.39839402057363205
